Aroma,Flavor,Aftertaste,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Acidity
7.83,7.58,7.58,7.75,7.67,10.0,10.0,10.0,8.5,7.83
7.83,7.83,7.5,7.83,7.67,10.0,10.0,10.0,8.0,8.0
7.92,7.83,7.75,7.75,7.75,10.0,10.0,10.0,7.92,7.75
7.75,7.75,7.75,8.08,7.83,10.0,10.0,10.0,8.08,7.42
8.08,7.75,7.67,7.5,7.92,10.0,10.0,10.0,7.92,7.83
7.75,7.83,7.58,7.92,7.75,10.0,10.0,10.0,7.83,8.0
8.17,8.0,7.83,7.83,7.75,10.0,10.0,10.0,7.92,7.17
8.08,7.83,7.75,7.58,7.67,10.0,10.0,10.0,7.92,7.83
7.67,7.58,7.75,7.67,8.58,10.0,10.0,10.0,7.67,7.75
8.0,7.58,7.83,7.75,7.75,10.0,10.0,10.0,8.0,7.75
8.08,7.83,7.75,7.92,8.0,10.0,10.0,9.33,7.92,7.83
8.0,7.92,7.75,7.75,7.75,10.0,10.0,10.0,7.75,7.75
7.75,7.83,7.75,7.75,7.83,10.0,10.0,10.0,7.92,7.83
7.75,7.92,7.83,7.58,7.75,10.0,10.0,10.0,7.83,8.0
8.0,7.83,7.67,7.67,8.0,10.0,10.0,10.0,7.67,7.83
7.67,7.83,7.67,7.67,7.83,10.0,10.0,10.0,8.0,8.0
7.83,7.58,7.67,7.92,7.83,10.0,10.0,10.0,7.92,7.92
7.92,7.83,7.75,7.67,7.75,10.0,10.0,10.0,7.83,7.92
7.67,7.83,7.75,7.92,7.83,10.0,10.0,10.0,7.92,7.75
7.42,7.75,7.75,8.0,7.92,10.0,10.0,10.0,7.83,8.0
7.92,7.75,7.83,7.58,7.92,10.0,10.0,10.0,7.83,7.75
7.83,7.67,7.58,7.67,7.83,10.0,10.0,10.0,8.08,7.92
7.92,7.83,7.58,7.83,7.67,10.0,10.0,10.0,7.75,8.0
7.83,7.83,7.83,7.58,7.83,10.0,10.0,10.0,7.92,7.75
7.75,7.83,7.67,7.75,7.83,10.0,10.0,10.0,7.83,7.92
8.0,7.92,7.67,7.58,7.67,10.0,10.0,10.0,8.17,7.58
7.67,7.67,7.58,7.58,8.5,10.0,10.0,10.0,7.83,7.75
7.75,7.75,7.83,7.58,8.0,10.0,10.0,10.0,7.92,7.75
7.75,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.75,8.08
7.67,7.83,7.83,7.58,7.92,10.0,10.0,10.0,7.75,8.0
7.75,7.83,7.75,7.83,7.67,10.0,10.0,10.0,7.75,8.0
7.42,7.67,7.75,8.08,7.83,10.0,10.0,10.0,8.08,7.75
8.0,8.0,7.75,7.58,7.75,10.0,10.0,10.0,7.75,7.75
8.5,8.0,7.5,7.5,7.83,10.0,10.0,10.0,7.5,7.75
7.92,7.67,7.92,7.67,7.58,10.0,10.0,10.0,8.0,7.75
7.92,7.75,7.67,7.83,7.75,10.0,10.0,10.0,7.83,7.75
7.75,7.92,7.67,7.75,7.67,10.0,10.0,10.0,7.92,7.83
7.92,7.83,7.83,7.58,7.58,10.0,10.0,10.0,7.92,7.83
8.08,7.67,7.83,7.67,7.67,10.0,10.0,10.0,7.75,7.83
7.67,8.0,7.75,7.75,7.58,10.0,10.0,10.0,7.92,7.83
8.17,7.83,7.67,7.67,7.83,10.0,10.0,10.0,7.5,7.83
7.92,7.83,7.67,7.67,7.75,10.0,10.0,10.0,7.67,8.0
8.0,7.92,7.42,7.5,7.67,10.0,10.0,10.0,7.92,8.08
7.92,7.83,7.75,7.75,7.83,10.0,10.0,10.0,7.67,7.75
7.67,8.0,7.67,7.5,7.83,10.0,10.0,10.0,7.83,8.0
7.81,7.81,7.88,7.38,8.25,9.5,10.0,10.0,8.13,7.75
8.17,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.75,7.75
7.58,7.83,7.83,7.67,7.58,10.0,10.0,10.0,7.92,8.0
7.67,7.67,7.83,7.83,7.83,10.0,10.0,10.0,8.0,7.58
7.92,7.83,7.75,7.92,7.67,10.0,10.0,10.0,7.67,7.67
7.92,7.75,7.67,7.67,7.75,10.0,10.0,10.0,7.75,7.92
7.83,7.83,7.75,7.5,7.75,10.0,10.0,10.0,7.75,8.0
7.92,7.92,7.5,7.5,7.92,10.0,10.0,10.0,7.83,7.83
7.75,7.92,7.75,7.83,7.67,10.0,10.0,10.0,7.83,7.67
7.5,7.75,7.83,7.92,7.75,10.0,10.0,10.0,7.75,7.92
7.33,7.58,7.83,7.75,7.92,10.0,10.0,10.0,8.17,7.75
7.92,8.0,7.75,7.67,7.75,10.0,10.0,10.0,7.58,7.67
7.58,7.75,7.5,7.67,8.5,10.0,10.0,10.0,7.5,7.83
7.58,7.92,7.58,7.92,7.75,10.0,10.0,10.0,7.83,7.75
7.67,7.67,7.75,7.75,7.83,10.0,10.0,10.0,7.83,7.83
7.75,7.67,8.0,8.08,7.83,10.0,10.0,10.0,7.33,7.67
7.75,7.58,7.33,7.58,8.08,10.0,10.0,10.0,8.17,7.83
8.0,7.75,7.75,7.5,7.67,10.0,10.0,10.0,7.83,7.83
8.17,8.0,7.5,7.5,7.67,10.0,10.0,10.0,7.75,7.75
8.0,8.0,7.5,7.67,7.75,10.0,10.0,10.0,7.92,7.5
7.75,7.75,7.92,7.5,7.92,10.0,10.0,10.0,7.75,7.75
7.5,7.67,7.75,7.92,7.92,10.0,10.0,10.0,7.92,7.67
7.92,7.75,7.75,7.67,7.83,10.0,10.0,10.0,7.67,7.67
7.83,7.75,7.75,7.83,7.67,10.0,10.0,10.0,8.0,7.42
7.83,7.58,7.75,7.67,8.0,10.0,10.0,10.0,7.83,7.58
7.75,7.75,7.58,7.75,7.75,10.0,10.0,10.0,7.75,7.92
7.75,7.92,7.5,7.58,7.67,10.0,10.0,10.0,7.75,8.08
7.83,7.83,7.58,7.75,7.75,10.0,10.0,10.0,7.75,7.75
7.67,7.67,7.75,7.67,7.92,10.0,10.0,10.0,7.83,7.75
7.83,7.67,7.75,7.92,7.75,10.0,10.0,10.0,7.75,7.58
7.83,7.75,7.83,7.67,7.75,10.0,10.0,10.0,7.83,7.58
7.42,7.67,7.83,7.92,7.83,10.0,10.0,10.0,7.83,7.75
7.83,7.67,7.75,7.67,7.67,10.0,10.0,10.0,7.83,7.83
7.83,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.75,7.75
7.83,7.83,7.5,7.58,7.75,10.0,10.0,10.0,7.83,7.92
7.58,7.5,7.75,7.92,7.83,10.0,10.0,10.0,7.83,7.83
7.33,7.92,7.92,7.92,8.08,10.0,10.0,9.33,7.83,7.92
7.83,7.92,7.67,7.5,7.75,10.0,10.0,10.0,7.75,7.83
7.83,7.83,7.75,7.83,7.58,10.0,10.0,10.0,7.75,7.67
7.83,7.92,7.67,7.5,7.75,10.0,10.0,10.0,7.83,7.75
8.17,7.75,7.58,7.83,7.58,10.0,10.0,10.0,7.67,7.67
7.75,7.83,7.58,7.67,7.75,10.0,10.0,10.0,7.75,7.83
7.83,7.75,7.58,7.75,7.83,10.0,10.0,10.0,7.75,7.67
7.92,7.75,7.67,7.5,7.67,10.0,10.0,10.0,8.0,7.67
7.75,7.75,7.58,7.67,7.83,10.0,10.0,10.0,7.58,8.0
7.75,7.92,7.58,7.67,7.67,10.0,10.0,10.0,7.67,7.92
7.58,7.83,7.58,7.83,7.67,10.0,10.0,10.0,7.83,7.83
8.0,7.5,7.5,8.0,7.83,10.0,10.0,10.0,7.67,7.67
7.67,7.83,7.83,7.67,7.83,10.0,10.0,10.0,7.83,7.5
7.67,7.75,7.75,7.83,7.75,10.0,10.0,10.0,7.75,7.67
7.67,7.75,7.67,7.5,8.0,10.0,10.0,10.0,7.83,7.75
7.5,7.92,7.58,7.75,7.83,10.0,10.0,10.0,7.75,7.83
7.92,7.75,7.75,7.75,7.58,10.0,10.0,10.0,7.67,7.75
7.67,7.5,7.67,7.83,8.58,10.0,10.0,10.0,7.5,7.42
7.67,7.75,7.67,7.75,7.75,10.0,10.0,10.0,7.83,7.75
7.58,7.75,7.75,7.75,7.83,10.0,10.0,10.0,7.75,7.75
7.58,7.83,7.75,7.67,8.0,10.0,10.0,10.0,7.67,7.67
7.92,7.75,7.67,7.83,7.92,10.0,10.0,10.0,7.42,7.67
8.42,8.08,7.5,7.58,8.17,9.33,10.0,10.0,7.92,7.17
7.75,7.75,7.75,7.83,7.75,10.0,10.0,10.0,7.58,7.75
7.83,7.5,7.5,7.83,7.83,10.0,10.0,10.0,7.67,8.0
7.83,7.75,7.5,7.83,7.75,10.0,10.0,10.0,7.67,7.83
7.81,7.88,7.56,7.63,7.75,10.0,10.0,10.0,7.75,7.75
7.83,7.5,7.42,7.83,8.5,10.0,10.0,10.0,7.5,7.5
7.58,7.67,7.67,7.75,7.83,10.0,10.0,10.0,7.92,7.67
8.0,7.75,7.5,7.92,7.67,10.0,10.0,10.0,7.67,7.58
7.92,7.75,7.67,7.67,7.67,10.0,10.0,10.0,7.67,7.75
7.58,7.75,7.67,7.75,7.67,10.0,10.0,10.0,7.67,8.0
7.83,7.75,7.83,7.42,8.08,9.33,10.0,10.0,8.0,7.83
7.67,7.75,7.67,7.67,7.75,10.0,10.0,10.0,7.83,7.75
7.92,7.92,7.83,7.92,7.92,10.0,10.0,8.67,7.92,8.0
7.58,7.75,7.67,7.83,7.75,10.0,10.0,10.0,7.67,7.75
7.83,7.75,7.67,7.33,7.75,10.0,10.0,10.0,7.92,7.75
7.42,7.83,7.75,7.75,7.58,10.0,10.0,10.0,7.75,7.92
7.67,7.83,7.58,7.75,7.67,10.0,10.0,10.0,7.58,7.92
7.67,7.67,7.83,7.58,7.83,10.0,10.0,10.0,7.83,7.58
7.92,7.67,7.42,7.75,7.83,10.0,10.0,10.0,7.5,7.92
7.75,7.83,7.5,7.58,7.67,10.0,10.0,10.0,7.83,7.83
7.67,7.75,7.67,7.67,7.75,10.0,10.0,10.0,7.83,7.67
7.58,7.42,7.75,7.75,7.92,10.0,10.0,10.0,7.67,7.92
7.67,7.67,7.5,7.67,7.67,10.0,10.0,10.0,8.33,7.5
7.75,7.75,7.5,7.67,7.92,10.0,10.0,10.0,7.83,7.58
7.58,7.83,7.67,8.0,7.75,10.0,10.0,10.0,7.92,7.25
7.67,7.83,7.67,7.67,7.75,10.0,10.0,10.0,7.67,7.75
7.67,7.83,7.5,7.92,7.67,10.0,10.0,10.0,7.67,7.75
7.92,8.17,8.17,8.08,8.17,8.67,8.67,9.33,8.42,8.42
7.67,7.75,7.67,7.83,7.67,10.0,10.0,10.0,7.67,7.75
7.92,7.75,7.58,7.67,7.83,10.0,10.0,10.0,7.58,7.67
7.58,7.75,7.58,7.58,7.75,10.0,10.0,10.0,8.0,7.75
7.5,7.75,7.58,7.58,7.5,10.0,10.0,10.0,8.5,7.5
7.83,7.83,7.58,7.42,7.5,10.0,10.0,10.0,7.83,7.92
7.67,7.75,7.5,7.67,7.83,10.0,10.0,10.0,7.83,7.67
7.58,7.67,7.67,7.58,7.83,10.0,10.0,10.0,7.83,7.75
7.83,7.75,7.83,7.83,7.75,9.33,10.0,10.0,7.83,7.75
7.75,7.67,7.5,7.83,7.75,10.0,10.0,10.0,7.67,7.75
7.75,7.58,7.5,7.75,7.92,10.0,10.0,10.0,7.58,7.83
7.75,7.75,7.58,7.75,7.67,10.0,10.0,10.0,7.67,7.75
7.92,7.67,7.5,7.58,7.67,10.0,10.0,10.0,7.75,7.83
7.83,7.75,7.58,7.75,7.75,10.0,10.0,10.0,7.67,7.58
7.75,7.58,7.67,7.83,7.67,10.0,10.0,10.0,7.58,7.83
8.0,7.92,7.92,7.67,7.33,10.0,10.0,10.0,7.17,7.92
7.67,7.83,7.67,7.67,7.83,10.0,10.0,10.0,7.5,7.75
7.67,7.75,7.58,7.75,7.83,10.0,10.0,10.0,7.67,7.67
7.5,7.67,7.58,7.75,7.75,10.0,10.0,10.0,7.83,7.83
7.75,7.92,7.83,7.75,7.67,9.33,10.0,10.0,7.75,7.92
7.92,7.58,7.5,7.58,7.67,10.0,10.0,10.0,7.75,7.83
7.83,7.67,7.5,7.75,7.75,10.0,10.0,10.0,7.58,7.75
7.67,7.67,7.75,7.5,7.75,10.0,10.0,10.0,7.83,7.67
7.75,7.75,7.5,7.83,7.58,10.0,10.0,10.0,7.67,7.75
7.75,7.67,7.5,7.75,7.67,10.0,10.0,10.0,7.75,7.75
7.25,7.58,7.42,7.75,7.83,10.0,10.0,10.0,8.0,8.0
7.67,7.75,7.67,7.42,7.75,10.0,10.0,10.0,7.83,7.75
7.75,7.75,7.67,7.58,7.67,10.0,10.0,10.0,7.75,7.67
7.67,7.67,7.58,7.83,8.17,10.0,10.0,9.33,8.08,7.5
7.83,7.42,7.5,7.75,7.83,10.0,10.0,10.0,7.67,7.83
7.58,7.83,7.33,7.58,7.75,10.0,10.0,10.0,7.75,8.0
7.92,7.5,7.33,8.17,7.5,10.0,10.0,10.0,7.75,7.67
7.5,7.67,7.58,7.83,7.83,10.0,10.0,10.0,7.67,7.75
7.67,7.58,7.58,7.58,7.67,10.0,10.0,10.0,7.92,7.83
7.5,7.83,7.5,7.83,7.67,10.0,10.0,10.0,7.67,7.83
7.67,8.0,7.67,7.67,7.5,10.0,10.0,10.0,7.92,7.42
7.67,7.58,7.5,7.75,7.75,10.0,10.0,10.0,7.83,7.75
7.83,7.83,7.58,7.5,7.58,10.0,10.0,10.0,7.83,7.67
7.75,7.75,7.58,7.67,7.58,10.0,10.0,10.0,7.5,8.0
7.5,7.83,7.58,7.75,7.83,10.0,10.0,10.0,7.75,7.58
7.58,7.83,7.58,7.83,7.5,10.0,10.0,10.0,7.5,8.0
7.75,7.58,7.5,7.75,7.75,10.0,10.0,10.0,7.83,7.58
7.67,7.67,7.58,7.67,7.67,10.0,10.0,10.0,7.75,7.75
7.83,7.83,7.58,7.58,7.58,10.0,10.0,10.0,7.75,7.58
7.67,7.67,7.58,7.67,7.83,10.0,10.0,10.0,7.75,7.58
7.92,7.75,7.5,7.75,7.5,10.0,10.0,10.0,7.67,7.67
7.83,7.75,7.67,7.58,7.67,10.0,10.0,10.0,7.75,7.5
7.75,7.67,7.5,7.58,7.83,10.0,10.0,10.0,7.75,7.67
8.0,7.92,7.58,7.33,7.5,10.0,10.0,10.0,7.67,7.75
7.83,7.83,7.83,8.0,8.17,9.33,9.33,10.0,7.75,7.67
7.67,7.67,7.67,7.5,7.67,10.0,10.0,10.0,7.67,7.92
7.67,7.42,7.42,8.0,8.33,10.0,10.0,10.0,7.5,7.42
7.58,7.67,7.75,7.67,7.67,10.0,10.0,10.0,7.75,7.67
7.75,7.67,7.75,7.42,8.0,10.0,10.0,10.0,7.58,7.58
7.25,7.42,7.67,7.83,8.25,10.0,10.0,10.0,7.75,7.58
7.83,7.58,7.58,7.75,7.67,10.0,10.0,10.0,7.83,7.5
7.67,7.58,7.58,7.75,7.75,10.0,10.0,10.0,7.75,7.67
7.83,7.83,7.58,7.42,7.67,10.0,10.0,10.0,8.08,7.33
7.75,7.67,7.25,7.58,8.5,10.0,10.0,10.0,7.75,7.25
7.83,7.67,7.75,7.58,7.5,10.0,10.0,10.0,7.75,7.67
7.67,7.83,7.5,7.67,7.5,10.0,10.0,10.0,7.83,7.67
8.08,7.67,7.67,7.25,7.67,10.0,10.0,10.0,7.75,7.58
7.5,7.5,7.67,8.0,8.0,10.0,10.0,10.0,7.33,7.67
7.67,7.75,7.67,7.83,7.58,10.0,10.0,10.0,7.5,7.67
7.58,7.75,7.58,7.58,7.58,10.0,10.0,10.0,7.83,7.75
7.5,7.67,7.33,7.83,7.67,10.0,10.0,10.0,7.75,7.92
7.33,7.67,7.67,7.67,7.5,10.0,10.0,10.0,8.33,7.5
7.5,7.75,7.58,7.67,7.58,10.0,10.0,10.0,7.75,7.83
7.5,7.75,7.5,7.67,7.67,10.0,10.0,10.0,7.83,7.75
8.0,7.5,7.33,8.0,8.0,9.33,10.0,10.0,7.5,8.0
7.83,7.75,7.67,7.58,7.67,10.0,10.0,10.0,7.58,7.58
7.67,7.67,7.67,7.33,7.75,10.0,10.0,10.0,7.92,7.67
7.67,7.67,7.42,8.0,7.75,10.0,10.0,10.0,7.5,7.67
7.83,7.67,7.33,7.67,7.83,10.0,10.0,10.0,7.67,7.67
7.75,7.75,7.58,7.17,7.75,10.0,10.0,10.0,7.83,7.83
8.17,8.17,7.83,8.08,7.75,9.33,9.33,9.33,8.0,7.67
7.67,8.17,7.5,7.58,7.83,10.0,10.0,10.0,7.5,7.42
7.67,7.5,7.5,7.83,8.25,10.0,10.0,10.0,7.58,7.33
8.17,7.67,7.58,7.42,7.67,10.0,10.0,10.0,7.58,7.58
7.67,7.5,7.33,7.67,7.67,10.0,10.0,10.0,7.83,8.0
7.75,8.0,7.92,7.75,8.0,9.33,9.33,9.33,8.17,8.08
7.58,7.67,7.58,7.67,7.58,10.0,10.0,10.0,7.92,7.58
7.75,7.75,7.5,7.58,7.58,10.0,10.0,10.0,7.58,7.83
7.75,7.75,7.58,7.67,7.58,10.0,10.0,10.0,7.67,7.58
7.67,7.58,7.58,7.67,7.75,10.0,10.0,10.0,7.75,7.58
7.67,7.75,7.58,7.75,7.58,10.0,10.0,10.0,7.58,7.67
7.75,7.75,7.58,7.5,7.67,10.0,10.0,10.0,7.75,7.58
7.75,7.67,7.58,7.5,7.67,10.0,10.0,10.0,7.75,7.67
7.67,7.67,7.42,7.75,7.67,10.0,10.0,10.0,7.67,7.75
7.67,7.58,7.67,7.67,7.67,10.0,10.0,10.0,7.67,7.67
7.67,7.58,7.67,7.67,7.75,10.0,10.0,10.0,7.67,7.58
7.75,7.58,7.5,7.75,7.83,10.0,10.0,10.0,7.58,7.58
7.75,7.75,7.75,7.5,7.58,10.0,10.0,10.0,7.5,7.75
